Year,UK
1953,50592900
1954,50764900
1955,50946100
1956,51183500
1957,51430200
1958,51652500
1959,51956300
1960,52372500
1961,52807400
1962,53291800
1963,53624900
1964,53990800
1965,54349500
1966,54642700
1967,54959000
1968,55213500
1969,55460600
1970,55632200
1971,55928000
1972,56096700
1973,56222900
1974,56235600
1975,56225700
1976,56216100
1977,56189900
1978,56178000
1979,56240100
1980,56329700
1981,56357500
1982,56290700
1983,56315700
1984,56409300
1985,56554000
1986,56683800
1987,56804000
1988,56916400
1989,57076500
1990,57237500
1991,57438700
1992,57584500
1993,57713900
1994,57862100
1995,58024800
1996,58164400
1997,58314200
1998,58474900
1999,58684400
2000,58886100
2001,59113016
2002,59365677
2003,59636662
2004,59950364
2005,60413276
2006,60827067
2007,61319075
2008,61823772
2009,62260486
2010,62759456
2011,63285145
2012,63705030
2013,64105654